,price,year,mileage,price range
773,9600,2014,150525.0,Low price
774,10500,2013,112267.0,Middle price
775,6700,2013,139394.0,Low price
776,14200,2013,82543.0,Middle price
777,15500,2019,13532.0,Middle price
778,35100,2018,14751.0,High price
779,26300,2018,11150.0,Middle price
780,15700,2016,91248.0,Middle price
781,17600,2016,65336.0,Middle price
782,18600,2016,48974.0,Middle price
783,19100,2016,40011.0,Middle price
784,15200,2019,37444.0,Middle price
785,16100,2019,43199.0,Middle price
786,14800,2019,43589.0,Middle price
787,16700,2019,32870.0,Middle price
788,15300,2019,38826.0,Middle price
789,16500,2019,33739.0,Middle price
790,19600,2019,35309.0,Middle price
791,15200,2019,32248.0,Middle price
792,15000,2019,36165.0,Middle price
793,15500,2019,29922.0,Middle price
794,15700,2019,26848.0,Middle price
795,14800,2019,41163.0,Middle price
796,9200,2017,32856.0,Low price
797,8200,2017,100315.0,Low price
798,11400,2013,91638.0,Middle price
799,6500,2015,83173.0,Low price
800,11500,2014,94356.0,Middle price
801,23800,2015,85792.0,Middle price
802,8900,2014,129068.0,Low price
803,28300,2019,27665.0,Middle price
804,27300,2019,25427.0,Middle price
805,3500,2013,78198.0,Low price
806,28300,2020,13886.0,Middle price
807,18300,2019,34538.0,Middle price
808,22500,2018,20575.0,Middle price
809,22500,2018,26026.0,Middle price
810,8300,2012,99015.0,Low price
811,16500,2019,27327.0,Middle price
812,14500,2019,30229.0,Middle price
813,30000,2019,43294.0,High price
814,30000,2019,54309.0,High price
815,30000,2019,52822.0,High price
816,30000,2019,45554.0,High price
817,30000,2019,37538.0,High price
818,29500,2019,35153.0,Middle price
819,21600,2019,23783.0,Middle price
820,22600,2019,30759.0,Middle price
821,16300,2019,38922.0,Middle price
822,8600,2012,165836.0,Low price
823,28800,2019,19235.0,Middle price
824,22100,2019,9445.0,Middle price
825,14300,2018,19164.0,Middle price
826,13700,2018,54106.0,Middle price
827,29500,2017,32051.0,Middle price
828,18500,2017,14870.0,Middle price
829,19000,2016,32294.0,Middle price
830,43400,2015,7250.0,High price
831,46000,2015,10145.0,High price
832,12500,2018,59924.0,Middle price
833,13900,2017,21304.0,Middle price
834,13000,2018,52079.0,Middle price
835,13000,2018,54960.0,Middle price
836,3000,2013,80099.0,Low price
837,17500,2019,23987.0,Middle price
838,7900,2017,84144.0,Low price
839,8900,2014,85639.0,Low price
840,11500,2018,50193.0,Middle price
841,6500,2017,74392.0,Low price
842,8000,2017,76117.0,Low price
843,18700,2018,36358.0,Middle price
844,8350,2017,90685.0,Low price
845,27900,2017,54141.0,Middle price
